120
First_Name        Last_Name         Numeric_Grade     Letter_Grade      
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
John              Doe               89.50             B                 
Alice             Steward           95.30             A                 
Emiily            Brown             88.70             B                 
